Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Action,Number of Alerts,Sum of alert weights,Reward,Done,Timestamp
True,False,True,True,False,True,False,5,2,6,-28,False,2023-12-17 23:34:24.419097
True,False,True,True,False,True,True,7,2,6,-29,False,2023-12-17 23:34:39.479827
True,False,True,True,False,True,False,7,2,6,-28,False,2023-12-17 23:34:54.544738
False,False,True,True,False,True,False,1,2,10,-43,False,2023-12-17 23:35:09.604993
False,False,False,True,False,True,False,3,3,11,-46,False,2023-12-17 23:35:24.664677
False,False,False,True,True,True,False,5,2,10,-43,False,2023-12-17 23:35:39.750506
True,False,False,True,True,True,False,1,1,5,-24,False,2023-12-17 23:35:54.813065
True,True,False,True,True,True,False,2,0,0,5,True,2023-12-17 23:36:09.872625
True,False,False,False,False,False,False,1,6,17,-69,False,2023-12-17 23:36:24.936493
True,False,False,False,False,False,True,7,3,8,-34,False,2023-12-17 23:36:39.997892
True,False,False,False,False,False,True,0,3,8,-34,False,2023-12-17 23:36:55.063785
True,False,False,True,False,False,True,4,2,6,-27,False,2023-12-17 23:37:10.118210
True,False,False,True,True,False,True,5,1,5,-24,False,2023-12-17 23:37:25.174951
True,False,False,True,True,True,True,6,1,5,-25,False,2023-12-17 23:37:40.238303
True,True,False,True,True,True,True,2,0,0,4,True,2023-12-17 23:37:55.297377
True,False,False,False,False,False,False,1,5,14,-57,False,2023-12-17 23:38:10.360070
True,True,False,False,False,False,False,2,4,9,-38,False,2023-12-17 23:38:25.420493
True,True,False,False,True,False,False,5,3,8,-35,False,2023-12-17 23:38:40.473856
True,True,True,False,True,False,False,3,3,8,-36,False,2023-12-17 23:38:55.530078
True,True,False,False,True,False,False,3,4,11,-47,False,2023-12-17 23:39:10.594433
False,True,False,False,True,False,False,1,5,16,-66,False,2023-12-17 23:39:25.657561
False,True,False,False,True,False,False,0,5,16,-66,False,2023-12-17 23:39:40.719336
True,True,False,False,True,False,False,1,4,11,-47,False,2023-12-17 23:39:55.786684
True,True,False,False,True,False,True,7,1,2,-12,False,2023-12-17 23:40:10.846046
True,True,True,False,True,False,True,3,1,2,-13,False,2023-12-17 23:40:25.905767
True,True,True,True,True,False,True,4,0,0,4,True,2023-12-17 23:40:40.962003
True,False,False,False,False,False,False,1,6,17,-69,False,2023-12-17 23:40:56.029051
True,False,False,True,False,False,False,4,5,15,-62,False,2023-12-17 23:41:11.086213
False,False,False,True,False,False,False,1,6,20,-81,False,2023-12-17 23:41:26.151941
False,False,False,True,True,False,False,5,5,19,-78,False,2023-12-17 23:41:41.206718
False,False,False,True,False,False,False,5,6,20,-81,False,2023-12-17 23:41:56.273498
False,False,True,True,False,False,False,3,5,19,-78,False,2023-12-17 23:42:11.345271
False,True,True,True,False,False,False,2,3,11,-47,False,2023-12-17 23:42:26.403170
False,True,True,True,False,False,False,0,3,11,-47,False,2023-12-17 23:42:41.467436
False,True,True,True,False,False,False,0,3,11,-47,False,2023-12-17 23:42:56.520437
False,True,True,True,True,False,False,5,3,11,-48,False,2023-12-17 23:43:11.584422
False,True,True,True,False,False,False,5,3,11,-47,False,2023-12-17 23:43:26.644445
False,True,True,True,False,False,True,7,1,5,-24,False,2023-12-17 23:43:41.707406
True,True,True,True,False,False,True,1,1,1,-9,False,2023-12-17 23:43:56.762105
True,True,True,True,True,False,True,5,0,0,4,True,2023-12-17 23:44:11.839804
False,False,False,False,False,False,False,0,7,22,-88,False,2023-12-17 23:44:26.895641
False,True,False,False,False,False,False,2,5,14,-57,False,2023-12-17 23:44:41.953471
False,True,False,False,False,False,True,7,3,8,-34,False,2023-12-17 23:44:57.026400
False,True,False,False,False,False,False,7,5,14,-57,False,2023-12-17 23:45:12.097016
False,True,False,True,False,False,False,4,4,12,-50,False,2023-12-17 23:45:27.152553
False,True,False,False,False,False,False,4,5,14,-57,False,2023-12-17 23:45:42.211728
False,True,False,True,False,False,False,4,4,12,-50,False,2023-12-17 23:45:57.272057
False,True,False,True,False,False,True,7,2,6,-27,False,2023-12-17 23:46:12.336443
False,True,False,True,False,True,True,6,2,6,-28,False,2023-12-17 23:46:27.395397
False,False,False,True,False,True,True,2,3,11,-47,False,2023-12-17 23:46:42.454428
False,False,False,True,False,False,True,6,3,11,-46,False,2023-12-17 23:46:57.509984
True,False,False,True,False,False,True,1,2,6,-27,False,2023-12-17 23:47:12.567981
True,False,False,True,False,False,True,0,2,6,-27,False,2023-12-17 23:47:27.626130
True,False,False,False,False,False,True,4,3,8,-34,False,2023-12-17 23:47:42.698479
True,False,False,False,True,False,True,5,2,7,-31,False,2023-12-17 23:47:57.766124
True,True,False,False,True,False,True,2,1,2,-12,False,2023-12-17 23:48:12.830499
True,True,False,False,False,False,True,5,2,3,-15,False,2023-12-17 23:48:27.884357
True,False,False,False,False,False,True,2,4,9,-38,False,2023-12-17 23:48:42.938399
False,False,False,False,False,False,True,1,4,13,-53,False,2023-12-17 23:48:57.995387
False,False,False,True,False,False,True,4,3,11,-46,False,2023-12-17 23:49:13.050950
False,False,False,True,False,False,False,7,6,20,-81,False,2023-12-17 23:49:28.133664
False,False,False,True,False,False,True,7,3,11,-46,False,2023-12-17 23:49:43.195248
False,False,True,True,False,False,True,3,2,10,-43,False,2023-12-17 23:49:58.251794
False,False,True,False,False,False,True,4,3,12,-50,False,2023-12-17 23:50:13.307310
False,False,True,False,False,False,False,7,5,18,-73,False,2023-12-17 23:50:28.362674
False,False,True,False,False,True,False,6,3,12,-50,False,2023-12-17 23:50:43.432970
False,False,True,True,False,True,False,4,2,10,-43,False,2023-12-17 23:50:58.495342
False,False,True,False,False,True,False,4,3,12,-50,False,2023-12-17 23:51:13.548986
False,True,True,False,False,True,False,2,2,7,-31,False,2023-12-17 23:51:28.609699
False,True,True,False,False,True,True,7,2,7,-32,False,2023-12-17 23:51:43.662199
False,True,True,False,False,True,True,0,2,7,-32,False,2023-12-17 23:51:58.720843
False,True,True,False,False,True,False,7,2,7,-31,False,2023-12-17 23:52:13.780694
True,True,True,False,False,True,False,1,2,3,-16,False,2023-12-17 23:52:28.845762
