Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Action,Number of Alerts,Sum of alert weights,Reward,Done,Timestamp
True,False,True,True,False,False,True,6,2,6,-28,False,2023-12-17 18:25:47.522066
True,False,True,True,True,False,True,5,1,5,-25,False,2023-12-17 18:26:02.598036
True,False,True,True,True,False,True,0,1,5,-25,False,2023-12-17 18:26:17.679599
True,False,True,True,True,False,False,7,4,14,-60,False,2023-12-17 18:26:32.743587
True,False,True,False,True,False,False,4,4,13,-55,False,2023-12-17 18:26:47.798277
True,False,False,False,True,False,False,3,4,13,-54,False,2023-12-17 18:27:02.879006
True,True,False,False,True,False,False,2,2,5,-23,False,2023-12-17 18:27:17.947145
True,False,False,False,True,False,False,2,4,13,-54,False,2023-12-17 18:27:33.012189
True,False,False,False,True,True,False,6,2,7,-31,False,2023-12-17 18:27:48.084528
True,True,False,False,True,True,False,2,1,2,-12,False,2023-12-17 18:28:03.145798
True,True,True,False,True,True,False,3,1,2,-13,False,2023-12-17 18:28:18.200244
True,True,True,False,True,False,False,6,3,8,-36,False,2023-12-17 18:28:33.278316
True,True,True,False,True,False,False,0,3,8,-36,False,2023-12-17 18:28:48.331460
True,True,False,False,True,False,False,3,3,8,-35,False,2023-12-17 18:29:03.419496
True,True,False,False,False,False,False,5,3,6,-26,False,2023-12-17 18:29:18.482755
True,True,False,True,False,False,False,4,2,4,-19,False,2023-12-17 18:29:33.576952
True,True,False,True,False,False,False,0,2,4,-19,False,2023-12-17 18:29:48.635972
True,False,False,True,False,False,False,2,4,12,-50,False,2023-12-17 18:30:03.691976
True,False,False,True,False,False,True,7,2,6,-27,False,2023-12-17 18:30:18.748825
True,False,False,False,False,False,True,4,3,8,-34,False,2023-12-17 18:30:33.806968
True,False,False,False,False,False,True,0,3,8,-34,False,2023-12-17 18:30:48.875942
True,False,False,True,False,False,True,4,2,6,-27,False,2023-12-17 18:31:03.931089
True,True,False,True,False,False,True,2,1,1,-8,False,2023-12-17 18:31:18.985495
True,False,False,True,False,False,True,2,2,6,-27,False,2023-12-17 18:31:34.057403
True,False,False,True,True,False,True,5,1,5,-24,False,2023-12-17 18:31:49.121490
True,False,False,True,False,False,True,5,2,6,-27,False,2023-12-17 18:32:04.179095
True,False,False,True,False,False,False,7,5,15,-62,False,2023-12-17 18:32:19.236624
True,False,False,True,True,False,False,5,4,14,-59,False,2023-12-17 18:32:34.295845
True,False,True,True,True,False,False,3,4,14,-60,False,2023-12-17 18:32:49.354725
True,False,True,True,True,True,False,6,1,5,-25,False,2023-12-17 18:33:04.408596
True,False,True,True,True,True,True,7,1,5,-26,False,2023-12-17 18:33:19.464281
True,True,True,True,True,True,True,2,0,0,3,False,2023-12-17 18:33:34.524509
